This file was produced by the Exoplanet Follow-up Observing Program website (exofop.ipac.caltech.edu) on Wed Aug 18 23:51:48 2021

"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ACWG ESM","ACWG TSM","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"62483237","139.01","","1","4","4","5","4","3","1","5.4","100.9","6","7","7","PC","PC","9.3636","0.006","1","spoc","336.402414","-34.909713","26.43","0.071","-30.255","0.08","2458334.891916","0.002061","11.070804","0.000045","2.516083","0.173545","1.402853","0.106577","1291.240534","98.15653","3.079406","0.309398","22.422052","554.994383","13.696319","42.4061","0.0763","4356","173","4.53491","0.3608","0.700727","0.057528","","","1,28","potential L1 planet","2018-09-05","2021-07-06","2021-07-13"
"365389353","1390.01","","5","5","5","5","5","5","5","19.5","54.3","1","2","0","PC","FP","10.3093","0.02","1","qlp","323.86462","51.323577","7.911","0.068","4.41","0.063","2458716.35354","0.00331","2.63725","0.00033","2.87","0.225","1.379761","0.001519","1270","1.39929","8.74081","0.485284","2643.68","1997","14","523.373","12.7995","7495","195.4","3.88","0.09","2.5","0.1","","","15,16","Minor depth-aperture correlation","2019-10-30","2020-05-20","2021-06-13"
"389182138","1391.01","","5","5","5","5","5","5","5","7.7","61.7","4","6","5","PC","FP","10.4602","0.006","1","qlp","343.635061","54.161814","-94.07","0.049","9.95","0.048","2458740.10705","0.005","2.72687","0.0005","2.467","0.521","1.064543","0.002898","980","2.66879","2.54653","0.202683","543.502","1345","11","115.746","0.4265","5256","125.8","4.59","0.08","0.79","0.04","","","16,17","Potential level 1 candidate","2019-10-30","2020-05-20","2021-06-01"
"416987878","1392.01","","3","4","3","3","2","4","4","14.5","44.9","2","1","1","PC","PC","10.399","0.029","1","qlp","322.892141","50.320713","1.791","0.047","-2.781","0.049","2458712.7665","0.00452","2.86876","0.00042","2.422","0.362","1.118885","0.002364","1030","2.17774","8.48351","0.518841","2571.69","1983","12","594.193","10.8995","8342","285.2","3.9","0.08","2.65","0.09","","","15,16","","2019-10-30","2020-05-20","2021-06-01"
"430528566","1393.01","","3","5","5","3","4","4","4","28.3","79.9","1","0","6","PC","PC","10.1993","0.006","1","qlp","333.171245","52.900886","2.078","0.05","-17.708","0.049","2458738.74737","0.00133","0.55909","0.00003","0.955","0.258","1.075411","0.009284","990","8.55091","","","","","16","248.79","2.1445","","","","","","","","","16,17","Rs 1.2 from Gaia","2019-10-30","2021-04-20","2021-06-01"
"431156009","1394.01","","2","4","2","2","4","4","4","10.9","106.8","0","5","3","PC","PC","9.44275","0.006","1","qlp","340.395784","51.965285","47.604","0.075","15.882","0.071","2458741.20158","0.00919","2.95635","0.00095","3.969","0.374","0.662501","0.155368","610","143.089","6.41904","2.09444","21426.9","3370","16","195.022","1.5465","6294","142.8","4.13","0.09","1.58","0.07","","","16,17","Potential level 1 candidate","2019-10-30","2020-05-20","2021-06-01"
"468472950","1395.01","","3","4","3","3","2","4","4","8.8","48.8","0","2","2","PC","PC","10.1277","0.006","1","qlp","321.283221","40.887821","-3.082","0.107","-6.903","0.09","2458712.35831","0.00523","0.98736","0.00017","1.464","0.252","0.401797","0.001333","370","1.22746","3.41784","0.282621","2591.32","1987","10","279.953","6.32","6301.3","135.2","4.07","0.09","1.69","0.1","0","0.009","15,16","","2019-10-30","2020-05-20","2021-06-01"
"468845640","1396.01","","5","5","5","5","5","5","5","33.9","135.4","1","2","2","PC","FP","10.3217","0.006","1","qlp","337.8341","53.796052","84.014","0.227","18.619","0.32","2458741.729126","0.00222","3.99307","0.00063","4.783","0.567","4.234813","0.003755","3892.810059","3.4588","6.35126","0.329438","1282.52002","1667","49","102.931","1.5595","4731.100098","101.099998","4.35","0.09","0.93","0.04","","","16,17","TFOP FP","2019-10-30","2019-12-17","2021-06-01"
"64553698","1397.01","","5","5","5","5","5","5","5","50.8","206.5","1","5","2","PC","FP","10.1799","0.006","1","qlp","338.452968","57.563539","50.046","0.054","6.338","0.053","2458739.384521","0.00103","8.67911","0.00077","3.516","0.163","11.059969","0.339405","10134.900391","312.554993","13.0786","2.42173","413.112","1255","101","194.993","1.2205","6057","140.199997","4.43","0.09","1.18","0.05","","","16,17","","2019-10-30","2019-12-17","2021-06-01"
"66445643","1398.01","","5","5","5","5","4","5","5","24.2","36.8","0","2","5","PC","APC","8.6291","0.008","1","qlp","341.386298","48.161556","-2.432","0.071","-6.636","0.066","2458742.590576","0.00397","6.55236","0.00189","2.74","0.449","1","0.001976","920.609985","1.82005","","","815.83197","1521","19","648.398","19.9495","8918","182.899994","3.51","0.07","","","","","16,17","TFOP FP","2019-10-30","2019-12-17","2021-06-01"
"66783360","1399.01","","3","4","3","3","4","4","4","19.2","85.5","1","2","3","PC","PC","10.2107","0.006","1","qlp","341.970903","49.918072","18.039","0.078","0.467","0.07","2458738.98406","0.00349","1.38155","0.00015","2.263","0.614","1.314536","0.00526","1210","4.84501","5.02044","0.402069","5517.28","2401","22","252.396","3.0125","6483","147.9","4.28","0.08","1.38","0.06","","","16,17","","2019-10-30","2020-05-20","2021-06-01"
"140068425","140.01","","3","5","5","3","4","4","4","26.3","129.4","10","0","4","PC","APC","9.7828","0.006","1","spoc","330.301777","-49.060077","32.489","0.077","-15.438","0.075","2459061.991988","0.001803","2.281264","0.00031","1.160193","0.154201","1.223947","0.15391","1126.661949","141.74628","12.738719","22.251356","5760.972098","2221.998148","9.151047","337.105","5.7035","6174","194","4.27404","2.00568","2.35511","0.11186","","","1,28","very likely EB; events synchronized with modulations; potential secondary at 0.5 phase","2018-09-05","2020-10-27","2021-06-01"
